epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,499.289,1.47042,1.73447,1.31699,0.73166,0.67944,0.73775,0.45138,1.43458,0.92206,1.24929,0.00142467,0.00047489,0.00142467,0.00047489,0.00142467,0.00047489,0.00142467,0.00047489
2,977.873,1.26354,0.84785,1.14791,0.78881,0.74375,0.78778,0.49562,1.37215,0.76617,1.20583,0.0027595,0.000919833,0.0027595,0.000919833,0.0027595,0.000919833,0.0027595,0.000919833
3,1463.19,1.2144,0.73175,1.12046,0.78955,0.79249,0.81046,0.52141,1.33822,0.72368,1.19231,0.00400001,0.00133334,0.00400001,0.00133334,0.00400001,0.00133334,0.00400001,0.00133334
4,1947.12,1.1801,0.69004,1.10402,0.80676,0.77727,0.8139,0.53456,1.32731,0.7328,1.18411,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
5,2424.63,1.157,0.65043,1.09527,0.80615,0.7835,0.82069,0.54567,1.31236,0.72905,1.18519,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037
6,2932.42,1.13738,0.61931,1.08312,0.77772,0.78717,0.80521,0.53764,1.31304,0.74457,1.20096,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322
7,3485.37,1.12061,0.59496,1.08243,0.80305,0.79953,0.80966,0.54523,1.30945,0.72723,1.19218,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
8,4058.99,1.09788,0.5789,1.07562,0.81216,0.78524,0.81276,0.54812,1.29386,0.75826,1.18974,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989
9,4632.76,1.09705,0.57047,1.07582,0.79659,0.79402,0.81601,0.55173,1.29467,0.78178,1.18366,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174
10,5207.25,1.07288,0.54956,1.05811,0.81084,0.78691,0.81575,0.55704,1.28146,0.76528,1.18715,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
11,5757.87,1.06607,0.54536,1.06132,0.80037,0.78572,0.80938,0.55356,1.28143,0.75282,1.18711,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
12,6245.01,1.06561,0.53818,1.05902,0.81811,0.7979,0.82798,0.56919,1.27182,0.73205,1.17993,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273
13,6732.84,1.0553,0.52814,1.05245,0.81479,0.79687,0.82788,0.57085,1.27676,0.727,1.18838,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
14,7249.42,1.04291,0.51409,1.04169,0.81557,0.79133,0.8153,0.56358,1.28353,0.75307,1.18999,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959
15,7793.43,1.03691,0.51551,1.04221,0.80992,0.79798,0.82112,0.57068,1.26926,0.78431,1.17874,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802
16,8312.55,1.02593,0.49652,1.03214,0.81502,0.79627,0.81308,0.55932,1.28065,0.7611,1.18546,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
17,8853.68,1.02843,0.50023,1.04523,0.82066,0.78196,0.81346,0.55916,1.2798,0.78006,1.19653,0.00202346,0.000674488,0.00202346,0.000674488,0.00202346,0.000674488,0.00202346,0.000674488
